review_body,star_rating
I got this watch for x-may from my husband cause I wanted it so bad. Its only the 30th and the band is gray. I am very upset. I called the company and they said that they are taking them off the market. If the store does not take it back they said that they will give you a new one.<br />I am not happy cause I love this watch,1
"It is a good thing I didn't pay the full $50+ for this thing, $30+ was too much. I have three watches under $15 that are great, unlike this one. It has a faux tourbillon look that is really cheesy in person. The crown guard is cheap plastic and the tiny plastic nub that holds it down shears off the first time you set it. The band was too short for my tiny wrist, the only watch I ever bought in my life like that, and it looks like leather, but is a cheap gummy plastic that doesn't want to bend and conform to the wrist's shape. The leather veneer scratches off of the band with your fingernail. It is a self winding watch and you can't go more than eight hours without wearing it or it runs out. I had the watch eight days before it started losing time to the tune of 12 minutes per hour. Eight days of disappointment, and then into the garbage can.",1
"The first day I wore the watch the plastic casing felled off. I know it was only $14.99, I still though it would make it pass day 1.",1
I recieved the product with watchband parched and cracking!<br /><br />There is no way to return the product since I bought this watch during a work travel to US!,1
hola me gustaria saber que ha pasado con este reloj y tambien me gustaria cambiar la direccion me podrian decir como hacer,1
Excelent watch but the bands is very bad. is not sustainable and if it breaks no replacement. for the price you can buy other better durability,1
Cheap product,1
Its very harsh<br />broke it before use it<br />am very diappointed<br />Dont buy it my child wait for it for long time and now its broke,1
"This watch is crap.. it arrived missing some of the crystals, the buttons on the side are just decoration because they do not work, since this watch is not actually luminous like advertised. The hands also get stuck. I wouldn't reccomend this brand not even to my worst enemy.",1
"I had to return it because it wasn't working,and with all respect;I think that the sender should assure that all items is good before he or she sent it.",1
It stopped working a week after I used it. The second handle not ticking!!! The sticker in the back says ' replace Battery Jan 2015' !!!!<br />Please don't waste your money! Avoid!!!!!,1
The top of this product quit working 2 weeks after the return date.  DO NOT PURCHASE.  You will be disappointed!,1
We purchased this watch in December of 2012 for over $400 and within 2 months had to send it in for warranty work because it would not keep time.  Here we are 6 months later and it is again losing time and now the chrono feature does not work correctly.  Extremely disappointed and will never purchase anything Swiss Army again.,1
leather too hard won't wrap around your wrist I sent it back,1
Buy a better one this is plastic and pot metal I broke it after 2 uses.,1
"Most of what has been written is quite accurate.  The watch face is big (But that is what I wanted) and I did have to get several links removed, but it fits fine.  The only downer is the band.  It seems to be trash.  The black had rubbed off on sections on only the 3rd day I had worn it.  I will inevitably have to replace the band.  Also, the band feels cheap and super lightweight, compared to the face which has a nice heft to it.  I will still recommend a buy for this price ($65) when I got it... that is sixty-five and zero pennies in case this is edited out.  But you will need a better band.<br /><br />UPDATE (5/1/11)<br />I have now owned this watch for 4 months and the clasp that holds the band closed is broken.  The pin that holds it one slides in and out and doesn't even seem long enough to make it end to end, making me think a portion is broken off.  Very disappointed.",1
"I bought this watch case for my boyfriend for his birthday.  I was so excited to recieive it after researching through many different options.  When I opened the box from Amazon I was extremely disappointed.  The watch box has a shiny black finish and there were smudges, nicks, even an actual gouge in the side of it.  It looked like some one put it through  some abuse.  I was very sad , because I think it would be a great watch box if it had not been so damaged.  I'm not sure how anyone in the quality dept for this company would let the watch box even be released for shipment.  it was that bad! :(  thank goodness I did not have it shipped directly as a gift, I would have been embarrassed.    Now I have to go through the hassle of returning it and I ordered another one from another company.  It's too bad, because now I risk it not being here on time for the birthday if I do not pay extra shipping.",1
"My daughter loved the design of the watch and was excited when it arrived.  Unfortunately, after only one day of use, the band detached from the watch face and when hitting the ground the face cracked.  I would expect a product made for children would be built to handle rougher use.",1
Doesn't work. It came with a battery and i set the but it doesn't keep time. Within approx 3 hours its off by 15 minutes.  Within 24 hours its off by a couple hours.,1
Nope,1
"BEST S*** WATCH ACQUISITION IN MY LIFE, the crown is bent not out, and it has gone<br /><br />Design and termination OK<br /><br />Quality and Function S***",1
I ordered one from their site in November. When the watch arrived the numeral seven tritium did not illuminate. I had to call them and three days later they mailed me a return label. They said that as soon as they received it they would send me another. Almost two weeks later I received the new watch which had deep nick marks on the case. Again I had to call them to get return labels. Well I had it with them and sent them an e-mail and photos of the watch that they were trying to pass off as new. I contacted Paypal who opened up a formal complaint and they got the refund from the dishonest company. Shame on Marathon Watch!!,1
"The watch looks fantastic and the movement is quite smooth. I compared it to a friends swiss movement automatic watch and it is comparable. However I have several gripes. First is the band, clearly it is designed for wrists in Japan because it is short. I can barely fit it with the last hole in the band when most other brands leave me 3 or 4 holes. I wrote the company and their only response was to put another hole in it...on a $380 watch and that is the best response they can come up with. Second is the power reserve meter has been wildly inconsistent. It will often stick at a particular location and will not \\""charge\\"" anymore. At the same time it will often drain at 2x the actual rate. For instance I would take it off in the evening and pick it back up in the morning. It should have only lost about 10-12 hours on the meter but often showed that it had lost 25 hours!<br /><br />I finally decided to return the watch to Orient USA only to have them say because it has been worn it is not returnable. There is no way to know if the power reserve meter works unless you WEAR IT! On top of that it clearly states in their return policy that a defective watch can be refunded if returned within 30 days. I only wore it for about a week so I am well within the 30 days. I have sent it back to them with the expectation that I will get refunded the purchase price. Since I paid using my Paypal account I am also filing a complaint with them in hopes that they will no give me any grief.<br /><br />UPDATE-Orient USA wants to charge me $30 for a new band in order to give me a refund. Combined with the $10 cost in shipping, I would be out $40! What a load of crap, buyer beware of this company...questionable product and piss poor customer service.",1
I got my watch since one month ago and it is not working well. It delays fifteen minutes a week,1
"Watch is terrific, finding a replacement for the leather strap impossible. Amazon.com is no help, more like deceptive. You search for Skagen replacement watch bands, get sent to Amazon, & only find the watches themselves, no replacement watchbands. What's that about?",1
cheap junk,1
It's hard to wear looks nice but no sense warring is not easy at all,1
"I had this watch one month when one of the crystal fell out.  I called customer service and followed the directions to send the product back for repair.  A month later I have called twice to check on the status of the watch and now I am getting the run around.  I left a message for a return call which never happened.  I called back and Anthony, an employee in the repair department, said he would check on it for me and call me back.  Of course that never happened.    I WARN everyone and Amazon don't order products by bellagio, avalon or pedre its the same place.      Amaazon needs to check into these people before they are held liable for something.  They are now on warning.    The people and product SUCKS!!!",1
The watch was delivered with a few scratches on the outer edge of the unidirectional bezel. I was disappointed to receive a new watch already scratched.,1
No warranty card at the box....,1
Only runs half the time.  Runs for three or four hours then stops.  The crystal broke after 1 week.  Don't waste your money.,1
"I've owned several Timex watches over the years, and they all had a similar problem.  The crown when you pull it out half-way to set the date just would not work after a while.  And now, with the added features of this one, they all seem to go wrong.  Heck, it wont even keep the correct time any more.  The compass only works if you set it on a completely flat, level surface, and the temp is only accurate if you leave it off your wrist for an hour or so.  Whats the point in having a wristwatch with features that only (barely) work when you take it off?  Timex just doesnt make quality products, I just never knew it until I bought a watch that was actually made well.",1
dont work as whach ck only work as battery ck??????????????????????/???????<br />the price its good shiping its very fast.thank any way,1
1 of the 2 watches was not running please send me a battery for it ... not sure if the battery is the problem or not,1
"The watch was OK, but the clasp was not as described on Amazon, so I did not want it. Sent the watch back in accordance with sellers specs, AND NEVER RECEIVED A REFUND. Seller does not respond to phone calls.  VERY UNHAPPY!!!!!",1
"2 B r not 2 B<br /><br />Watch has so much moisture inside after 2 swims, that I cannot read the display. Have had many versions of Timex Ironman watches over the years, and this is the first time, it failed so soon. Must be a manufacturing defect. Returning, and will try a different one.",1
I took a chance on the mixed reviews and ended up disappointed. I already own a very similar watch and the silicone that holds the strap in place had broken. I found it was cheaper to buy a new watch than just a band. Of course this was too good to be true. It's not the pretty pale pink in the picture (somewhere between pale and bright pink) and the paint on the edges of the face was coming off as soon as I tried to pry of the back to change the dead battery. One of the cz stones was about to fall out. I have no problem with a less expensive watch (i'm not one for expensive jewelry of any kind) but this thing is garbage. Don't bother.,1
Too big--sorry I bought it.  I would like to return it to you.,1
"The description of this watch was \\""unidirectional bezel.\\""  However, the watch lacked a moveable bezel.  That was the feature in which I was most interested.  So, no, this was NOT a good experience.",1
I ordered the watch pictured up top but received  a totally different watch. When I went back to reorder they had a totally different price for the watch,1
"bad item parts where missing 3 parts, I had to go to my local watch store and spend $ 10 in order to use this product, I tried calling amazon to get a replacement, but they stated that was the last one they had.",1
"This is a very nice watch. Unfortunately, I had to return it because there were no instructions on how to remove the links. The watch would've fit 2 people the way it came.",1
"THIS PRODUCT IS VERY POOR QUALITY, DO NOT RECOMMEND. MIGHT BE VERY CHEAP BUT NOT WORTH TO PAY FOR SOMETHING THAT DOES NOT WORK",1
"Garbage - tools were chipped when they arrived, and materials are so flimsy even the metal parts chip off easily",1
I didn't purchase the watch from Amazon but had the same issue of time loss due to the watch stopping. Took it off for a few days then I noticed. Visually the watch has the look but you need the engine running properly. Lots of bad watches coming out of invicta lately. Glad my older purchases are running fine as I have invested lots into my collection from Invicta. My advice: Test all your watch functions for a few days before keeping them.,1
I can't find a BT notify app that will do all you guys say this watch  should be  doing  very disappointed in the watch cause it doesn't work,1
This is the 2nd of these watches I've ordered. The stem is not protected so it arrives w/almost no battery left. The 1st one lasted about 2 months...the 2nd one barely 2 weeks. I will never buy another one.,1
"I like the overall look of the watch, but the materials are very cheap. Does not look like it will withstand every day wear. Wish I did not purchase.",1
I bought this watch and returned it because it intermittently stopped working so I sent it back. Received it's replacement a few weeks later. It stopped working intermittently again. Was going to return it but I was a week out of the 30 day replacement period. I'm not a very satisfied customer! I thought Casio was a pretty good company or maybe these watches are sent as old merchandise with dated batteries. Frustrated!,1
"I bought this watch one month ago and it was not a good choice.<br />The delivery was perfect but the item was cheap and not working.<br />As I tried to adjust the hour on my new watch I pulled the crown out with precaution but it directly goes out, the all part !<br />So now, I have a new watch, i didn't use it once she's waiting to go to the repair shop. about 80$ plus repair cost !<br /><br />Be careful with Android company.",1
"Looks nice, but within literally five minutes the chain broke and the cover will not stay shut.  Very cheap.  I am returning.",1
"This is the worst experience I've ever had shopping online. I bought this watch because I thought it was going to be a great Christmas present for my mother until I found out this watch was fake, a very precise replica that people wouldn't be able to tell unless is taken to a store and compared to another watch of the same series. I want my money back. This is a scam!!!!",1
Watch defective...even new battery didn't help.  Seller refunded $ promptly.  Will not order another.,1
"Took a month to arrive and doesn't work. Can't be bothered to pay to return, so I'm just throwing it away. Waste of time and money",1
I had the watch for less than a month and the clasp completely broke. I did like that the hands on the watch glowed in the dark.,1
This was a gift for my husband.  It never worked.  We sent it in for repairs and it would be gone for months at a time.  When it was sent back it still never worked.  We did this three times.  Finally I took it to a local watch repairman and he couldn't fix it either  It's now two years later with all the sending back and forth and to late to return it!  Very bad!,1
"This watch is really poor quality. The watch band started cracking and splitting a week after continuous wear, as other reviewers have noted.  Also, for the first few days the watch worked fine. Then, the plastic covering the face popped off, no idea how this happened. After that, the watch kept stopping, I had to reset it many times, and then about one month after receiving it and less than 2 weeks of wearing it on a daily basis, it quit altogether. I am going to contact Amazon to see wht kind of credit I might be able to get. If I has to do it again, I definitely would NOT BUY THIS WATCH.",1
"This is NOT what you will get if you order this tool kit; instead, you'll get this:<br />http://www.amazon.com/Optima-55-046-Complete-Repair-Watch/dp/B009OWWVPW/ref=sr_1_12?s=apparel&ie=UTF8&qid=1436466779&sr=1-12<br />The kit I received had about half of the tools that are in the picture, a cheap plastic link remover, no hammer or hand puller, plus a lot of other pieces were just plain missing. And, instead of the nice black leatherette case with the tan lining, the tools arrived in a cheap aluminum-and-lexan hard case, which was just tacky.<br />I sent it back and requested the tool kit I ordered, and Amazon sent me another of the exact same piece of crap. Until Optima and Amazon figure out what what the heck is going on with this product, my advice is that you do not order it, unless you really like being disappointed.",1
"The quality of the product isn't that good for a 85$ watch. The functions aren't working properly (the day and date), also the pin that I'm suppose to change these info aren't working too (it's suppose to have 2 stages but has just one, to change the hour only).",1
"Worked for about 1 hour, then quit.",1
Heavy...too  heavy,1
"Junk watch, but then again it was less than 20 bucks.",1
Thos os the worst thing I have ever bought on amazon. I received it at first without battery and this is not usual. I went to watches store and wanted to put a battery and they told me the electricity stuff inside the watch was full of sulfate because the battery was inside for long time and now doesnt works it needed to chaged all the electric system to work again then I paid a lot more for this new system. Is the worst item i have ever bought really this never happen to me and will never happen again for sure. Never buy this.,1
"Don't waste your money on this watch. I tried to set the time and battery died immediately, after I I just got it in the mail. There's a possibility that you will get the exact same watch that I returned to Amazon, and hopefully with a new battery. ;)",1
Timex used to make great watches that lasted a long time. But in recent years the quality has gone down tremendously. The last 4 or 5 timex watches we've bought in our household have lasted a year or less. I keep buying them becasuse there are very few women's sport watches with interval timers and the other ones are chunky and not at all stylish. This one at least bridges the gap on style and is not too big so I can wear it most of the time. But it really irritates me that the quality is so bad.,1
"I bought this Casio watch for casual use to replace a Casio I had used several years.  One of the features I wanted was enough water-resistance to go into a swimming pool and wade into the ocean.  The watch was never more than 5 feet under water, but water droplets appeared inside the watch face within several days.  They did dry out, but then a piece of the plastic fell off, and the watch band was no longer functional.  I don't expect a $13.48 watch to last forever, but I thought it should last more than 2 weeks.",1
"Looks great, but the chronograph doesn't work....I dont know if was the saller that sold me a broken one, or the watch is a POS..",1
I BY THIS WACH  FOR MAY  WIFE  IS LOOKED VERY CHEAPER ; I DONT LIKE  .  L CAN SAID  IF  YOU WANNA  BY  SOMETHING SPECIAL FOR YOUR WIFE  DONT BY THIS WACH,1
"Loved how this watch looked and fit, but had two problems:    1. the installed light uses up the battery a lot which I needed to replace too often.  2. It broke, couldn't be fixed without spending more than the watch was worth! Had to throw it out!",1
I never got the Jason Taylor invicta case! :( the order should have came wit a Invicta Jason Taylor Big Plastic Case.,1
"Would not recommend ordering this watch.  I received a watch, however it was not the gold one pictured; I received one that was silvertone, and looked and felt Cheap.",1
Stopped working after two days. Poorly made. A complete disappointment...,1
"After trying for 3 hours to set the time, without success, I returned it to Amazon for credit.",1
Returned said watch as it did not work properly.  Half of the face failed to light up. It was not a battery problem as I had a professional jeweler advise me on it.,1
Definite quality control problems. The second hand (sweep hand) randomly wobbles and causes the minute hand to get stuck about once a day. Unreliable wristwatch. Amazon has placed this item &#34;under review&#34; and has temporarily ceased selling it. This one is going back.,1
Within two days of delivery I returned home to Jamaica and had to change the battery and adjust the second hand as it was sticking to the glass,1
I had this watch in my possession for 48 hours and the crown fell out and the automatic movement and second hand froze.,1
"I bought this clock specifically because it featured a silent movement and is made by Seiko, a company I trusted.  It is very stylish looking, and has a nice glass crystal.  The numbers and hands are very legible from across the room.  I have owned this clock for two years.  It does continue to work and keep accurate time.  However...  For the first year or so, it was completely quiet.  After that, it started making a soft rattling sound that increased in volume over the months.  It is not super loud, but can be heard from about 10ft away.  Upon examination, I see that a small plastic pinion gear attached to the motor no longer meshes completely with the gear it drives, as it has worn down.  The worn gear makes a faint grinding noise as it rotates.  If it wears down further, I anticipate it will jam and the clock will stop running.  This is unacceptable for a $50 clock.<br /><br />As others have pointed out, the movement is Chinese made, and labeled &#34;SKP&#34;, which is Seiko's branding.  According to Seiko's Hong Kong SKP movement website (search for &#34;Seiko HK movement&#34;), their sweep movements are made in China, and their step movements are made in Japan, for those who may have a preference when shopping for other models.  Either due to a Freudian slip or poor translation skills, their website proudly proclaims &#34;1990 was the time that Japanese movement to battle with newcomers from Taiwan, Korea, and Hong Kong. In order to win against those competitors, Seiko developed a new wall clock movement series. The Concept is to make the most competitive movement in the world... The perfect balanced movement between quality and cost, by ... #2: Minimizing quality of parts.  Replaced as many parts to plastic as possible and minimized metal parts unless it's really impossible to be replaced to plastic.&#34;  I'd say they need to re-do their assessment, because using metal instead of plastic for the motor gear would result in a product that outlasts its one-year warranty and improves customer retention...<br /><br />For those who want to try to fix their clock by swapping out the movement: the model is 44704E, which according to the above website is as follows: case 14mm thick, minute hand shaft 11.4 mm long, center screw (shaft) height 4.5 mm, dial fixing mode is center screw, and hand fixing mode is press fit.  Replacement movements can be found online.  The ticking types cost about $7 and the sweep second ones are about $14.warranty and improves customer retention...<br /><br />For those who want to try to fix their clock by swapping out the movement: the model is 44704E, which according to the above website is as follows: case 14mm thick, minute hand shaft 11.4 mm long, center screw (shaft) height 4.5 mm, dial fixing mode is center screw, and hand fixing mode is press fit.  Replacement movements can be found online.  The ticking types cost about $7 and the sweep second ones are about $14.",1
"I was not very happy with the watch.  I bought it with the name of a dive watch, and the thought of resistant up to 20bar.  Well i took this on a dive the other day.  Went down to 40ft for about 40min.  Finished my dive and went up washed off my gear and my self.  Got home and checked the time to see how much more time i had till work and low and behold my watch had stopped.  Now i am out $255, and citizen refused to repair my watch.  They said it isn't ment for diving.",1
"I wanted a simple no frills watch that would be practical and casual. The military-style look seemed to evoke that, and unlike other brands I figured Timex knew what they were doing.     On the ninth day I owned my watch, I was doing yardwork and when I came inside the glass piece covering the watch face had broken off along with the second hand. I was picking up sticks and raking. Will never buy another Timex product again.",1
"This kit is absolute junk.  First off, the blue dye on the plastic parts that are blue rubbed off onto my hands and stained them.  Soap does not remove the stain.  The case wrench that came with this is completely useless.  The teeth on the wrench do not line up horizontally, and it's designed in a way that you can only adjust how wide apart the teeth are, not the height of either one.  Since mine aren't aligned horizontally the tool is 100% useless.  This is the bottom of the barrel, &#34;get what you pay for&#34; Chinese-made garbage.  Don't waste your money on this.  Spend a little more and get each tool you need individually, pay a little more and get quality tools.",1
"The watch glass broke on me. I sent it in for warranty. It did it again. Dito. By the third time I spent too much on shipping and basically had paid for the watch twice. It was still broken, gave up, and will never buy Skagen again.",1
The band looks black on the screen but was gray which I didn't like.<br />Had to return the watch at my expense.,1
"It was a cheap looking,  bad quality watch.  The offer said retails for 79 dollars, I don't believe that for a minute.",1
The Clock is an imitation,1
This product did not fit my G-Shock as advertised!,1
I was very disappointed when I opened up the package only to find that the battery was dead.  I tried to change the battery myself and ended up breaking the watch in the process.  What a waste!  Wayne,1
"I send it back and ask for a reimbursement ... however, it was faboulously beatiful adn the case is pretty and look classy.",1
it is very light and small it is not good for even medium lady when i tried it i feel that is is like toys.,1
"So I go ahead and order the Angel edition Invicta watch for my girfriend and I just realized that while I'm adjusting the time, the INVICTA logo is wrong! It reads NVITCA instead. Is it a &#34;fake&#34; or just a manufacturing error ?",1
"I have bough several Timex watches.  The last few I purchased have been big disappointments.  The watch band breaks in a few months or less.  I have to purchase and alternative band and the watch becomes usable again.  Generally, I would say the quality of the Easy Reader watches is declining.",1
This is very cheap. I thought it was a wall clock not the size of a 50 cent piece.  The description of product is not clear.,1
It's really bad watch I can't set the time properly this watch too big for me,1
"The instructions tiny tiny (hard to read) and ultimately did not clearly explain how to do things ...so many buttons, so little time! Life's too short..this baby went back.",1
"Purchased this knowing that, being made in China, it would probably be junk.  But it was for a teenager taking a trip so I wanted something inexpensive.  Product arrived with a non-functioning battery...no big deal, replaced it, however, the hands didn't work properly either, so it immediately became worthless.  What do you want for $6.00?  Sending back today.  Don't even bother purchasing, it's not worth the hassle.",1
Hard to read.  Backlight is poor. Setting is complicated. It looks good but that is all.,1
"I ordered the watch and returned it a short time later because the stem fell out.  I received a replacement, which was out of warranty in January.  A few days ago the stem fell out of it too.  Buyer beware, this watch is a dud.",1
Watch unwearable.  The braids were not joined together at one point and impossible to fix.  Will have to find a new band.,1
"I would not buy anyting Invicta under any circumstance, the minute hand on my watch fell off within 2 months of owning it and they wanted me to pay for shipping to and from their company to repair it which was over $45 they are an embaressement of a watch company.",1
Just a bad experience with this seller. Ordered the watch with a Blue Face. They shipped the black face watch. Still tried to set it up. The box included the directions for a different T Touch watch. I downloaded the correct instructions off the Tissot website. The watch time is supposed to be set at the factory. It was not and it turns out that the battery was dead. Shipping it back. So much for buying watches on Amazon.,1
"I did purchase a brand new item and the one I did received was clearly a USED ONE, I AM VERY DISAPOINTED WITH WHOM FULFIELD MY ORDER<br /><br />THE SCREW AT 7 IS MISSING<br /><br />I AM REALLY WAITING FOR AN EXPLANATION<br /><br />Eugene Barquet",1
I purchased the watch for my wife in December 2013 and it has already stopped working. I would not recommend this watch.,1
"Beautiful watch, but the watch slipped out of my hand while I was putting it on and it ended up on the floor.  I picked it up and all the numbers and the Invicta logo was &#34;floating&#34; inside the watch freely.  The watch still broke, but all the numbers and letters rattle around freely.  I wouldn't recommend this watch to anyone.  I wouldn't buy this watch again.  I just bought a citizen watch to replace this one.",1
This watch came with directions written only in Chinese. What a pain! We can't figure out how to use it or set it. It is going back!,1
"I have read the reviews prior buying this watch.Even though the reviews on this product was not good,I ordered this thinking atleast this time ,they will ship a good one.But I got the watch which was not at all functioning.It is gift to my mother in law.Got fed up with this!!Please dont buy this!",1
"Looked nice, just happened to break after a week.",1
"This was to be my first \\""expensive\\"" watch. I hadn't worn a watch since I was a little kid (I'm 21 now) and I was looking for something to wear out to serious events. The watch came rather quickly through the mail and I opened the box eagerly to examine it.    Having little experience with watches, I'd say this watch was a little too big for me. I knew I wanted a large watch that would grab attention, but this was just a bit big for my wrist. I was prepared to make due with this anyways.    I pulled out the knob to set the time and date (as per the instructions) and the whole pin ended up coming out of the watch. I tried to reinsert it, but whatever was holding it in place must have came loose and it stopped working entirely. Luckily, I spoke to an Amazon representative who said they are going to refund my money and pay for the return shipping. I won't be buying this brand again.",1
"I had the same problem as another reviewer where after 2 months the watch started getting slow by several minutes a day. I replaced the battery, didn't help. Sent it to the manufacturer for repairs, and they sent it back claiming to have fixed it, but the problem persisted. And I was out the shipping & handling costs. It is nice-looking, but not a good timepiece.",1
"The instructions leave a lot to be desired but eventually you'll figure it out, it only lights up when it wants to, it usually won't light when you go to show it off",1
"I agree with most of the reviews. The design is OK but the watch is really hard to read, even with a direct light on it. Huge Disappointment!",1
In the past I had good experience with Timex watches and decided to buy an Expedition Trail to replace my Casio. The watch arrived promptly and set up easily. After a week it shut off and was dead. I contacted Amazon and within a few days a new watch arrived. I opened the box and the replacement watch was missing the mode button! Two strikes. I called Amazon and they are sending another replacement. My conclusion- Amazon is very efficient and excellent in managing defective products they sell and Timex needs better quality control. I am awaiting the third watch to give Timex another chance because I like the watch design but three strike and they are out.,1
"This product is far less useful than a rock, as a rock can serve as a paper weight, while this trinket isn't worth the postage stamp. I bought six different types of the same watch, and not  a single one of them worked longer than 4 hours total. I wouldn't waste my time even setting the time on this garbage. If you live a warm client and perspire at all, this watch will be completely useless to you. You can't see what time it si while outside during the day. The back plate is made out of chewing gum wrapper, and there isn't a seal between the tinfoil back plate and the casing. Hot Wheels cars that are cheaper than a buck, are made with more care and are of better quality, at least 100 time better quality. Run from this crap.",1
"This watch is really well made. And it does let you freeze time. However, my only complaint is that it's just not expensive enough. How am I supposed to impress my rich friends with a watch that's on sale! Come on Amazon raise the price! We live in a time in which the rich are getting richer every day while the poor are getting poorer. So, in order to impress my rich friends who are all getting richer every freaking day I really need to buy a more expensive watch. My friend Warren makes 37 million dollars a day for gods sake. He could buy 37 of these watches with one day's earnings. So, how am I supposed to impress him with this watch? It needs to cost at least 37 million. Right? I mean seriously... So, I'm going to look around for this watch being sold for a higher price.",1
Very poor quality.I always liked this brand and considered it the best in quality and preciopero no longer ...!! we past two watches I bought this brand have been admitted water.y have been rendered useless ... this model stand just 10 days.<br />I lost money invested in it ..,1
A month into owning it the second hand fell off. Watch no longer works,1
"If you're paying full price for the watch strap, it should come in the ACTUAL Daniel Wellington case. It makes me question if this is a knock off",1
"Keep looking.  I bought this set with the plan two give two watches to my wife and one to my sister in law.  Well guess what, the watch given to my sister in law doesn't work.  She already paid to resize it.  Found out it wasn't working, got a new battery, still not working.",1
the watch is too large for my arm.  The face is huge and the band will go around more than once.,1
"I just received this watch after looking for just the perfect one, and I am SO disappointed.  I wanted something with a little sparkle...there is NONE.  It looks very INEXPENSIVE.",1
"Cheap made,look good in the picture.I did return the order",1
"I bought an U.S. Polo Assn. Sport Men's US9061 Watch with Black Rubber Strap Watch and after normal use the rubber strap got broken, I try to contact U.S. Polo on their web page and sent and email from their web page asking for the rubber strap warranty and they never answer me about it, so the customer service is very poor (very bad) and the material of the rubber strap is poor quality, I don't definitely recommend these watches, bad product and bad customer service.",1
This is a kinetic watch. They are discontinued by Seiko. So this is a very old Kinetic watch. It doesn't work and chances are none of this version of the watch will work. There is a capacitor inside which is charged by motion. If it has sat for over a year and not been worn that capacitor discharges and cannot be recharged. I know I have had two of these watches in the past which no longer work.<br /><br />It's going to cost me $75 plus tax to get repaired by a local jeweler. I suggest of you choose to buy this watch you will need to do the same. I didn't return the watch because I wanted it and the Jeweler assured me after the repair it will be as good as new. The original price on this watch was almost $500 so it was worth fixing.,1
"It does pair with phone and will allow you to play music, keep time, count steps and take calls.  The insane giant problem is that there is no app anywhere to make the watch useful.  I will change this rating massively if seller will please post where app download is.",1
"Within 5 minutes of my daughter wearing the watch, the face fell off! It was very disappointing. I would find a better option.",1
"Not happy with this watch. Flimsy, and not well made. It also arrived broken, the minute hand didn't work and the third party seller had no return policy. The one star is for Amazon's prompt delivery.",1
It's poor quality,1
"I haven't had the chance to see it working.<br />I ordered one and the battery was dead or it was defective. So, I requested a replacement thinking that the shipper would make sure the new one was working. But, it would not work either.<br />What a disappointment !!!!!!!",1
Total junk.  Set the time to the second and after ten minutes of wearing it on my wrist the time was of by six hours...,1
The article came bad. It does not work properly,1
"Shape is good. I left it in the box as a Christmas gift for my wife. After less than one week, the battery is dead. So I have to buy a new battery for it now. IT IS REALLY ANNOYING. The worst experience in Amazon ever!",1
Cannot read the dial.,1
Don't do it!,1
This one is not working.,1
